𫮃 shàn
𫭼 láo
𫭢 lǔn
𫭟 ōu
𫫇 ě
𫢸 dàn
𫡑 yīn
𫠜 ní
𫠚 chū
𫠘 yòu
𫠗 jiǎn
𫠖 xióng
𫠕 yīng
𫠔 yuān
𫠓 niǎo,diǎo
𫠒 zhāng
𫠑 qiū,sōu
𫠐 hān
𫠏 mù
𫠌 bàng
𫠋 lù
𫠊 xuán
𫠉 mǎ
𫠈 bī,bì
𫠇 xín
𫠆 kuǐ
𫠅 gé
𫠃 xí
𫠂 líng
𫠁 hé
𫠀 cù
𫟿 chā,suǒ
𫟾 zú
𫟽 zú
𫟼 dá
𫟻 zhōu
𫟺 kāi
𫟹 hóng
𫟸 shì
𫟷 lì
𫟶 shàn,shuò
𫟵 yǔn
𫟴 fēn
𫟳 sì
𫟲 qiú
𫟱 zhù
𫟰 dāng
𫟭 kè
𫟬 zhì
𫟫 lì
𫟪 biān
𫟨 yuǎn
𫟦 suì
𫟥 kēng,zhěn
𫟤 tuó
𫟢 tán
𫟡 cóng
𫟠 chǎn
𫟟 pàn
𫟞 zhǐ
𫟝 ràng
𫟜 guān,guàn
𫟛 tán
𫟚 lǐ
𫟙 wèi
𫟘 wèi
𫟔 jué
𫟓 hàn
𫟒 yè
𫟑 líng
𫟐 páng,bàng
𫟏 tù
𫟎 huāng
𫟍 yuàn
𫟌 yì
𫟋 yǔ
𫟉 zhí
𫟈 měi
𫟇 liào
𫟆 chóng,zhòng
𫟅 liáng
𫟄 hóng
𫟃 rén
𫟁 duàn
𫟀 líng
𫞿 liāng
𫞾 bì
𫞽 suō
𫞺 qiè
𫞹 kōng
𫞷 kuài
𫞶 fǔ
𫞴 jì
𫞲 zhēn
𫞱 yán
𫞰 yíng
𫞯 yíng
𫞬 jìng
𫞫 yī
𫞪 shèn
𫞩 mén
𫞨 lán
𫞧 láo
𫞦 jì
𫞥 bèi
𫞤 yuán
𫞣 chǎn
𫞢 zhì
𫞡 róng
𫞠 líng
𫞞 guàn
𫞝 jué
𫞜 mǎn
𫞛 zhū
𫞚 zī
𫞘 yuān
𫞗 mǐn
𫞖 mín
𫞕 shì
𫞔 jiān
𫞓 suì
𫞒 lì
𫞐 quán
𫞏 qiáo
𫞎 qiáo
𫞍 tán
𫞌 duàn
𫞊 lì
𫞉 liǔ
𫞇 là
𫞆 gǔ
𫞅 xún
𫞄 jìn
𫞃 zhāo,zhào
𫞂 yào
𫞀 zú
𫝼 bō
𫝹 niàn
𫝸 yàn
𫝷 zuò
𫝶 zuò
𫝵 dǎo
𫝳 hù
𫝲 kāo
𫝱 níng
𫝰 zào
𫝯 xué
𫝮 lǎn
𫝭 yīng
𫝬 kuì
𫝫 lái
𫝪 gòng
𫝩 chóu
𫝨 huī
𫝧 shù
𫝦 bèi
𫝥 yǎng
𫝤 zòu
𫝣 shēng
𫝢 shēng
𫝡 duò
𫝠 tán
𫝟 zhòng
𫝞 bù
𫝝 yán
𫝜 zǎ
