边,biān
滨,bīn
橙,chéng
春,chūn
葱,cōng
底,dǐ
冬,dōng
后,hòu
季,jì
姜,jiāng
界,jiè
卡,kǎ
刻,kè
梨,lí
里,lǐ
秒,miǎo
末,mò
内,nèi
畔,pàn
前,qián
仁,rén
日,rì
桃,táo
外,wài
下,xià
夏,xià
杏,xìng
血,xuè
右,yòu
釉,yòu
月,yuè
周,zhōu
左,zuǒ
吖啶,ā,dìng
阿巴,a,bā
阿坝,a,bà
阿爸,ā,bà
阿班,ā,bān
阿布,ā,bù
阿城,a,chéng
阿爹,ā,diē
阿斗,ā,dǒu
阿窦,ā,dòu
阿飞,ā,fēi
阿附,ē,fù
阿哥,ā,gē
阿公,ā,gōng
阿河,ā,hé
阿訇,ā,hōng
阿涧,ā,jiàn
阿胶,ē,jiāo
阿姐,ā,jiě
阿桔,ā,jú
阿拉,ā,lā
阿乐,ā,lè
阿里,a,lǐ
阿鲁,ā,lǔ
阿伦,a,lún
阿洛,ā,luò
阿妈,ā,mā
阿曼,ā,màn
阿妹,ā,mèi
阿门,ā,mēn
阿盟,a,méng
阿明,a,míng
阿穆,ā,mù
阿囡,ā,nān
阿片,ā,piàn
阿婆,ā,pó
阿婶,ā,shěn
阿叔,ā,shū
阿廷,ā,tíng
阿维,ā,wéi
阿魏,ā,wèi
阿须,ā,xū
阿谀,ē,yú
啊哈,ā,hā
啊呀,ā,yā
啊哟,ā,yō
锕铀,ā,yóu
哎呀,āi,yā
哎哟,āi,yō
哀愁,āi,chóu
哀辞,āi,cí
哀悼,āi,dào
哀吊,āi,diào
哀告,āi,gào
哀歌,āi,gē
哀嚎,āi,háo
哀号,āi,háo
哀鸿,āi,hóng
哀叫,āi,jiào
哀矜,āi,jīn
哀哭,āi,kū
哀乐,āi,yuè
哀怜,āi,lián
哀戚,āi,qī
哀泣,āi,qì
哀切,āi,qiē
哀求,āi,qíu
哀荣,āi,róng
哀伤,āi,shāng
哀思,āi,sī
哀诉,āi,sù
哀叹,āi,tàn
哀啼,āi,tí
哀恸,āi,tòng
哀痛,āi,tòng
哀婉,āi,wǎn
哀艳,āi,yàn
哀怨,āi,yuàn
哀子,āi,zǐ
埃根,āi,gēn
埃及,āi,jí
埃兰,āi,lán
埃蕾,āi,lěi
埃门,āi,mén
埃农,āi,nóng
埃其,āi,qí
挨打,ái,dǎ
挨冻,ái,dòng
挨斗,ái,dòu
挨饿,ái,è
挨罚,ái,fá
挨挤,ái,jǐ
挨骂,ái,mà
挨批,ái,pī
挨整,ái,zhěng
挨揍,ái,zòu
癌变,ái,biàn
癌魔,ái,mó
癌痛,ái,tòng
癌症,ái,zhèng
癌肿,ái,zhǒng
矮草,ǎi,cǎo
矮凳,ǎi,dèng
矮秆,ǎi,gǎn
矮蒿,ǎi,hāo
矮老,ǎi,lǎo
矮蓼,ǎi,liǎo
矮林,ǎi,lín
矮胖,ǎi,pàng
矮人,ǎi,rén
矮榻,ǎi,tà
矮态,ǎi,tài
矮屋,ǎi,wū
矮小,ǎi,xiǎo
矮星,ǎi,xīng
矮型,ǎi,xíng
矮竹,ǎi,zhú
矮子,ǎi,zǐ
蔼然,ǎi,rán
艾草,ài,cǎo
艾锄,ài,chú
艾迪,ài,dí
艾丰,ài,fēng
艾割,ài,gē
艾蒿,ài,hāo
艾朗,ài,lǎng
艾雷,ài,léi
艾力,ài,lì
艾立,ài,lì
艾鲁,ài,lǔ
艾绿,ài,lǜ
艾玛,ài,mǎ
艾默,ài,mò
艾沐,ài,mù
艾仁,ài,rén
艾绒,ài,róng
艾太,ài,tài
艾汀,ài,tīng
艾亭,ài,tíng
艾卫,ài,wèi
艾芜,ài,wú
艾悉,ài,xī
艾欣,ài,xīn
艾旭,ài,xù
艾讯,ài,xùn
艾叶,ài,yè
爱倍,ài,bèi
爱辰,ài,chén
爱称,ài,chēng
爱厨,ài,chú
爱戴,ài,dài
爱帝,ài,dì
爱都,ài,dū
爱芬,ài,fēn
爱福,ài,fú
爱抚,ài,fǔ
爱国,ài,guó
