瓰 fēnwǎ
兙 shíkě
兡 bǎikè
瓼 lǐwǎ
甅 líwǎ
嗧 jiālún
瓧 shíwǎ
瓱 máowǎ

㐈 dòu
㐂 xǐ
㚎 qù
㐇 jiǔ
㐉 dīng
㐊 shì
㐍  zhǎo 
㐎 wén
㐏 wǔ 
㐐 nú 
㐑 dōng 
㐒 zhào
㐓 kě
㐔 xiǎng
㐗 lǎo
㐘 mǐ
㐙 dòu
㐚 wú 
㐛 yòu
㐝 jū
㐞  qí 
㐟 fēi
㐢 fú
㐣 kù
㐥 chú
㐦 jǔ
㓀 fù
㓇 wò
㚈 shēng
㐋 tǔ
㺯 nòng,lòng

㧞 bá
䤢 hé
䢶 bāng
㮎 bēi
㑲 nán
䙖 bēng
䮶 biāo
㟗 bīn
㯽 bīn
㕘 cān
䬸 cān
㟥 cēn
㠁 cēn
䑡 chā chà [chǎ] [chá] 
㕓 chán
㘯 chǎng cháng
䚁 chēn 
䬜 chī
㩅  chōu
䃼 chū fú
䥚 chū
䆥 chuān
䆤 chuān
㧿 chuāng
䚎 chuāng
䶴 chuī
䵸 cù
㚮 dān
㣋 dān
䓁 děng
㓮 diāo
㫡 dōng
㲇 dōng tóng
䔍 dǔ 
㕍 yàn
䊚 duī
㥫  dūn
㚳 ē
㢐 ē 
䋍 	ē'
㟯  è
㤙 ēn
䬚 fān
䬠 fēi
㞣 fēn
㸼 fēng
㶻 fēng
㷭  fēng
䗦 fēng
䗬 fēng
䎍 fū
㝬 hú
㭃 gāng
㓻 gāng
䌉 gāng
䔌  gāo
㢦  gē
䧻  gē
㪅  gēng gèng
㓛 gōng
㣉 gōng
㒶 gōng
䣏 gōng 
㳰 gōu
䧸 gū
㫕 guāng
㻁 guī
䢜 guī
㱕 guī
䂓 guī
䡄 guǐ
䧐 guō
㱒 hē
㠩 huāng
㡆  huāng
䘗 huī
㛰  hūn
䝴 jī
䠁 jī
䩭 jī
䪠 jī
䪢  jī
䢎 jì
䖬  jiǎ
䋗 jiān
㷙 jiān
䕬  jiāng
㤭 jiāo
䮦 jiāo
㸈  jiāo
㾬 jiē
䘜 jīn
㥤  [jīn][guān][qín]
䧱 jiū
䰗  jiū
㝒 jū
䳌 juān
䥴 juān
㑢 jié
㑓 jùn
㗐  [kè] [kē]
㓬 kū
㒭 kūn
㧛  [qiān][wàn]
㙧 liù
㤻  lǔn
㚼 niū
㘃  ruò
䉩 ōu
䳼  ōu
㤣 pēng
㔻  pī
㶨  pī
䮆 pī
㔇  pō
㭍  qī
䙭 qiān
㑴 qīn
䘲  qīn
䊒  jīng
䥊  qiāng
㐀  qiū
㘳  qiū
䋺  qiū
䮃  qū
䢆  rǒng
䊏  "sǎn,shēn",
㡎  "shān,qiāo,shēn",
㛽   "shān,shàn",
䍹   "shān",
㶮   "shāo",
䘯  shāo
䊁   "shēn",
㴱   "shēn",
㽒  "shēng",
㺰  "shī",
䲩  shī
㳤  "shū",
䟽  shū
䟽  shū
䧾   "shū",
䨇  "shuāng",
㚸  sī
㒋   "sī",
㐶    "huà,huā",
㮤  "sōng"
䒘  "suī",
䔀  "jùn",
㸂    suì
㑀  tài
㢭  tāo
䬢  tāo
㴞  tāo
䬭  "tāo",
㕔   "tīng",
㤀  "wàng",
㵟   "wēi",
䦩  wén
䆧  "wō",
㢪  "wū",
㠻   "xī",
㢴    "xī",
㝜  xī 
𡩤  xī 
㷩  jiǒng xī
䤈  "xī"
㬢  "xī",
㒪  "xī",
㒨   "xiān",
㿝  "xiāng",
䅨   "xiāng",
㴅   "xiāo",
䲷  "xiāo",
䣃 xiè 
㣺   "xīn",
㽮    "xīng",
㕳  "xiōng",
㕼   "xiōng",
䮌  xiū   
𩢮 xiū
䰅  "xū",
䇕  	xū',
㫬  xù'
㻆   "xuàn",
䌲   "xūn",
㷑  "yān",
䨃   "yàn",
䄃  "yāng",
㿲   "qī",
㘻  "yīn", 
䧣  "yīn",
䨉  "yīng",
㢕   "yōng",
㿈   "yōng",
䊸  "yū",
䘖  "xián",
㴊    "yuān",
㶜   "yuān",
㐾  ruǎn yuàn
㝨   "huán,yuán",
㦲  zāi
㘽   "zāi",
䟎  "zǎn",
䍧   "zāng",
䍭   "zāng",
㪰   "zhāi",
