鿓	鿒
錒	锕
鎄	锿
捱	挨
皚	皑
藹	蔼
靄	霭
愛	爱
薆	𫉁
噯	嗳
嬡	嫒
璦	瑷
𣜬	𪳗
曖	暧
礙	碍
𥴨	𫂖
鑀	锿
𩣑	䯃
諳	谙
闇	暗
鮟	𩽾
鵪	鹌
垵	埯
銨	铵
䬓	𫗊
骯	肮
鷔	𪉑
鰲	鳌
媼	媪
襖	袄
奧	奥
嶴	岙
謸	𫍵
驁	骜
八濛山	八濛山
釟	𫓥
𩚥	𩠀
䰾	鲃
䶕	𫜨
軷	𫐈
颰	𩙥
罷	罢
鮁	鲅
𣞻	𣘓
䆉	𫁂
壩	坝
擺	摆
襬	摆
拜覆	拜复
敗	败
𤁣	𣺽
韛	𫖔
頒	颁
𪄕	𪉒
阪	阪
鈑	钣
闆	板
絆	绊
辦	办
幫	帮
綁	绑
縍	𫄰
謗	谤
鎊	镑
𩦠	𫠌
齙	龅
飽	饱
鴇	鸨
寶	宝
報	报
鉋	铇
鮑	鲍
盃	杯
鵯	鹎
䎱	䎬
䥯	𫔆
鉳	锫
貝	贝
狽	狈
㛝	𫝦
珼	𫞥
梖	𪱷
備	备
輩	辈
鋇	钡
憊	惫
𨭎	𬭳
唄	呗
賁	贲
錛	锛
𩣺	𩧼
閍	𨸂
綳	绷
繃	绷
𦅈	𫄵
𩗴	𫗉
鏰	镚
䫾	𫠈
鎞	𫔇
䮠	𩧿
鰏	鲾
筆	笔
㻶	𪼋
畢	毕
畢昇	毕昇
閉	闭
䋔	𫄞
詖	诐
蓽	荜
嗶	哔
鉍	铋
飶	𫗣
彃	𪪼
𣯴	𣭤
幣	币
熚	𤇹
潷	滗
篳	筚
鮅	𫚑
䟆	𫎳
蹕	跸
斃	毙
韠	𫖒
贔	赑
𨯅	䥿
鷩	𫜁
鸊	䴙
編	编
獱	㺍
邊	边
鯾	𫚣
鯿	鳊
籩	笾
貶	贬
閞	𫔰
緶	缏
辮	辫
辯	辩
變	变
變徵	变徵
颮	飑
標	标
颷	𩙪
鏢	镖
驃	骠
飆	飙
飈	飚
鑣	镳
驫	骉
錶	表
鰾	鳔
䳤	𫛮
鱉	鳖
別	别
癟	瘪
彆	别
賓	宾
儐	傧
濱	滨
璸	瑸
檳	槟
瀕	濒
繽	缤
鑌	镔
擯	摈
殯	殡
臏	膑
髕	髌
鬢	鬓
稟	禀
稟覆	禀复
餅	饼
𩶁	𫚎
𩏂	𫖓
併	并
並	并
剝	剥
缽	钵
鉢	钵
撥	拨
餑	饽
蹳	𫏆
驋	𩧯
鈸	钹
鉑	铂
駁	驳
𩗀	𩙦
鮊	鲌
𩗓	𫗈
襏	袯
鵓	鹁
鎛	镈
餺	馎
䌟	𦈞
蔔	卜
鈽	钸
轐	𫐗
補	补
佈	布
鈈	钚
餔	𫗦
𩻗	𫚨
財	财
纔	才
採	采
寀	采
綵	彩
埰	采
叄	叁
參	参
飱	飧
嵾	㟥
㜗	𡞋
䟃	𫎺
驂	骖
殘	残
慚	惭
㨻	𪮃
蠶	蚕
慘	惨
黲	黪
燦	灿
倉	仓
蒼	苍
獊	𪺷
滄	沧
艙	舱
鶬	鸧
𩞄	𩠎
冊	册
厠	厕
側	侧
萴	荝
廁	厕
測	测
惻	恻
𦆲	𫟇
層	层
驓	𫘯
鍤	锸
鎈	𫟿
餷	馇
査	查
鑔	镲
奼	姹
詫	诧
釵	钗
儕	侪
蠆	虿
覘	觇
摻	掺
攙	搀
嬋	婵
禪	禅
蟬	蝉
𨬖	𫔏
纏	缠
讒	谗
鑱	镵
饞	馋
㹽	𫞣
產	产
産	产
剷	铲
嵼	𡶴
滻	浐
𩒎	𫖭
蕆	蒇
幝	𪩷
諂	谄
繟	𦈎
鏟	铲
譂	𫟠
闡	阐
囅	冁
剗	刬
懺	忏
顫	颤
倀	伥
閶	阊
錩	锠
鯧	鲳
䱽	䲝
長	长
萇	苌
場	场
腸	肠
嘗	尝
䗅	𫊪
䠆	𫏃
嚐	尝
償	偿
鱨	鲿
廠	厂
悵	怅
暢	畅
畼	𪽈
鈔	钞
朝乾夕惕	朝乾夕惕
鼂	鼌
麨	𪎊
車	车
唓	𪠳
硨	砗
𥿊	𦈈
徹	彻
𦾟	𦶻
賝	𫎩
陳	陈
蔯	𫈟
塵	尘
諶	谌
鷐	𫜀
磣	碜
𨮳	𫔒
齔	龀
儭	𠋆
櫬	榇
襯	衬
䞋	𫎪
讖	谶
傖	伧
䞓	𫎭
稱	称
撐	撑
赬	赪
檉	柽
蟶	蛏
𩞦	𩠏
棖	枨
誠	诚
𧶔	𧹓
鋮	铖
𩤙	𩨆
懲	惩
騁	骋
喫	吃
絺	𫄨
鴟	鸱
𧒯	𫊹
癡	痴
彲	彨
馳	驰
遲	迟
恥	耻
齒	齿
飭	饬
𩿪	𪉄
熾	炽
𪀦	𪉅
𧩼	𫍶
鶒	𫛶
沖	冲
衝	冲
𩰀	𩬤
緟	𫟆
蟲	虫
寵	宠
銃	铳
紬	䌷
篘	𥬠
綢	绸
儔	俦
薵	䓓
幬	帱
懤	㤽
嬦	𫝩
㦞	𪫷
疇	畴
㿧	𤽯
籌	筹
籌畫	筹划
躊	踌
讎	雠
䲖	𩾂
醜	丑
出醜狼藉	出丑狼借
貙	䝙
齣	出
芻	刍
蒭	𫇴
媰	㛀
䅳	𫀬
鋤	锄
廚	厨
𩔑	𫖷
雛	雏
櫥	橱
躕	蹰
𪆷	𫛾
儲	储
礎	础
齭	𫜭
處	处
絀	绌
觸	触
𡃕	𠴛
傳	传
釧	钏
摐	𪭢
瘡	疮
牀	床
闖	闯
創	创
愴	怆
錘	锤
鎚	锤
鰆	䲠
純	纯
脣	唇
蒓	莼
鶉	鹑
賰	䞐
䮞	𩨁
綽	绰
輟	辍
嚽	𪢕
齪	龊
詞	词
鴜	𪉈
蠀	𧏗
辭	辞
鶿	鹚
鷀	鹚
㓨	刾
賜	赐
囪	囱
蔥	葱
蓯	苁
䢨	𨑹
瑽	𪻐
樅	枞
聰	聪
𥖲	𪿞
鏦	𫓩
驄	骢
從	从
誴	𫟡
叢	丛
𩀨	𫕚
湊	凑
輳	辏
縬	𦈚
䥄	𫠀
顣	𫖹
𪓰	𫜟
攛	撺
躥	蹿
鑹	镩
欑	𪴙
竄	窜
鹺	鹾
銼	锉
錯	错
墶	垯
噠	哒
䌋	𦈘
鎝	𨱏
達	达
答覆	答复
薘	荙
䃮	鿎
繨	𫄤
鐽	𫟼
𩟐	𩠅
韃	鞑
大目乾連冥間救母變文	大目乾连冥间救母变文
躂	跶
獃	呆
軑	轪
帶	带
紿	绐
貸	贷
靆	叇
單	单
鄲	郸
殫	殚
癉	瘅
簞	箪
𨢿	𨡙
撣	掸
擔	担
膽	胆
訑	𫍙
誕	诞
𧩙	䜥
憚	惮
彈	弹
贉	𫎫
當	当
噹	当
璫	珰
𥢷	𫀮
襠	裆
簹	筜
鐺	铛
擋	挡
檔	档
黨	党
灙	𣺼
欓	𣗋
讜	谠
碭	砀
蕩	荡
蕩覆	荡复
壋	垱
盪	荡
魛	鱽
島	岛
搗	捣
導	导
隯	陦
𢷬	𢭏
擣	捣
嶹	𫝵
禱	祷
盜	盗
𤘀	𪺣
䊭	𥺅
鍀	锝
燈	灯
鄧	邓
鐙	镫
磾	䃅
鍉	𫔂
滌	涤
敵	敌
鏑	镝
糴	籴
牴	牴
牴觸	抵触
牴牾	抵牾
詆	诋
遞	递
締	缔
諦	谛
螮	䗖
顛	颠
顛乾倒坤	颠乾倒坤
𩥄	𩨋
巔	巅
癲	癫
點	点
電	电
電覆	电复
鈿	钿
墊	垫
澱	淀
彫	雕
琱	雕
貂覆額	貂复额
鵰	雕
鯛	鲷
弔	吊
𥾯	𫄝
釣	钓
銱	铞
調	调
窵	窎
絰	绖
𨴗	𨸅
諜	谍
鰈	鲽
疊	叠
釘	钉
頂	顶
訂	订
飣	饤
鋌	铤
錠	锭
𩜦	𩠆
丟	丢
銩	铥
東	东
倲	㑈
埬	𪣆
崬	岽
氭	𣱝
鼕	冬
鶇	鸫
凍	冻
動	动
棟	栋
腖	胨
駧	𩧲
鬥	斗
閗	𫔯
餖	饾
竇	窦
闍	阇
獨	独
瀆	渎
嬻	𪥿
瓄	𪻨
