僞	偽
兇	凶
啓	啟
喫	吃
嫺	嫻
嬀	媯
峯	峰
幺	么
擡	抬
曬	晒
棱	稜
檐	簷
污	汙
泄	洩
涌	湧
潙	溈
潨	潀
爲	為
牀	床
痹	痺
癡	痴
着	著
睾	睪
竈	灶
糉	粽
繮	韁
纔	才
羣	群
蔿	蒍
衆	眾
裏	裡
覈	核
踊	踴
鉢	缽
鮎	鯰
麪	麵
齶	顎
砹	砈
硅	矽
酰	醯
鈁	鍅
鈈	鈽
錇	鉳
鍀	鎝
鎄	鑀
鎇	鋂
鎿	錼
鐦	鉲
鑥	鎦
PN結	PN接面
SQL注入	SQL隱碼攻擊
SQL注入攻擊	SQL隱碼攻擊
阿拉伯聯合酋長國	阿拉伯聯合大公國
阿塞拜疆	亞塞拜然
埃塞俄比亞	衣索比亞
安提瓜和巴布達	安地卡及巴布達
巴巴多斯	巴貝多
巴布亞新幾內亞	巴布亞紐幾內亞
半角	半形
綁定	繫結
保存	儲存
貝寧	貝南
奔馳	賓士
本地代碼	原生代碼
蹦極	高空彈跳
比特	位元
筆記本電腦	膝上型電腦
壁紙	桌布
編程	程式設計
編程語言	程式語言
便攜式	行動式
變量	變數
標識符	識別符號
表達式	表示式
並行計算	平行計算
波分複用	波長分波多工
波斯尼亞黑塞哥維那	波士尼亞赫塞哥維納
伯利茲	貝里斯
博茨瓦納	波札那
博客	部落格
布爾	布林
布基納法索	布吉納法索
布隆迪	蒲隆地
採樣	取樣
菜單	選單
參數	引數
參數表	參數列
操作數	運算元
操作系統	作業系統
插件	外掛
查看	檢視
查找	查詢
場效應管	場效電晶體
城域網	都會網路
程序	程式
程序員	程式設計師
持久性	永續性
出租車	計程車
觸摸	觸控
觸摸屏	觸控式螢幕
傳感	感測
串行	序列
串行端口	串列埠
串口	串列埠
窗口	視窗
創建	建立
詞組	片語
磁道	磁軌
磁盤	磁碟
存儲	儲存
存盤	存檔
打開	開啟
打印	列印
打印機	印表機
代碼	程式碼
代碼頁	內碼表
帶寬	頻寬
單片機	微控制器
刀片服務器	刀鋒伺服器
導出	匯出
導入	匯入
登錄	登入
低級	低階
地址	地址
地址欄	位址列
遞歸	遞迴
點擊	點選
調度	排程
調色板	調色盤
調試	除錯
調試器	偵錯程式
調用	呼叫
調制	調變
調製解調器	數據機
端口	埠
短信	簡訊
堆棧	堆疊
隊列	佇列
對話框	對話方塊
對象	物件
多米尼加	多明尼加
多任務	多工
多態	多型
厄瓜多爾	厄瓜多
厄立特里亞	厄利垂亞
二極管	二極體
發佈	釋出
發送	傳送
範式	正規化
方便麪	泡麵
仿真	模擬
飛行模式	飛航模式
分辨率	解析度
分佈式	分散式
分區	分割槽
佛得角	維德角
服務器	伺服器
輔音	子音
傅里葉	傅立葉
複選按鈕	覈取按鈕
複選框	覈取方塊
複印	影印
岡比亞	甘比亞
高端	高階
高級	高階
高速緩存	快取記憶體
高性能計算	高效能運算
哥斯達黎加	哥斯大黎加
格林納達	格瑞那達
格魯吉亞	喬治亞
構造函數	建構函式
固件	韌體
掛斷	結束通話
關係數據庫	關聯式資料庫
光標	游標
光盤	光碟
光驅	光碟機
圭亞那	蓋亞那
過程式編程	程序式程式設計
哈薩克斯坦	哈薩克
哈希	雜湊
函數	函式
函數式編程	函數語言程式設計
航天飛機	太空梭
宏內核	單核心
洪都拉斯	宏都拉斯
紅心大戰	傷心小棧
後綴	字尾
呼出	撥出
呼叫轉移	來電轉駁
互聯網	網際網路
緩存	快取
回調	回撥
彙編	彙編
彙編語言	組合語言
